CYLINDERS,ENGINESIZE
4,2.0
4,2.4
4,1.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.7
6,3.7
4,2.4
4,2.4
6,3.5
12,5.9
12,5.9
8,4.7
8,4.7
8,4.7
8,4.7
12,5.9
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
6,3.0
6,3.0
6,3.0
6,3.0
6,3.0
8,4.0
6,3.0
6,3.0
8,4.0
12,6.3
6,3.0
4,2.0
4,2.0
6,3.0
4,2.0
6,3.0
6,3.0
6,3.0
8,4.2
8,4.2
10,5.2
10,5.2
8,4.2
8,4.2
10,5.2
10,5.2
8,4.2
8,4.2
8,4.0
6,3.0
6,3.0
6,3.0
6,3.0
6,3.0
8,4.0
8,4.0
8,4.0
6,3.0
4,2.0
4,2.0
4,2.0
4,2.0
8,4.0
12,6.0
8,4.0
12,6.0
8,4.0
12,6.0
12,6.0
8,6.8
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
6,3.0
6,3.0
6,3.0
6,3.0
6,3.0
4,2.0
4,2.0
4,2.0
6,3.0
6,3.0
6,3.0
6,3.0
4,2.0
4,2.0
6,3.0
6,3.0
6,3.0
8,4.4
8,4.4
6,3.0
8,4.4
8,4.4
8,4.4
6,3.0
8,4.4
8,4.4
12,6.0
6,3.0
6,3.0
6,3.0
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
8,4.4
4,2.0
6,3.0
4,2.0
6,3.0
6,3.0
8,4.4
8,4.4
6,3.0
8,4.4
4,2.0
4,2.0
6,3.0
6,3.0
6,3.0
6,3.6
6,3.6
4,1.4
4,1.4
6,3.6
6,3.6
6,3.6
6,3.6
4,2.4
4,2.0
4,2.0
4,2.0
4,2.4
4,2.0
4,2.0
4,2.4
4,2.0
4,2.0
4,2.5
6,3.6
4,2.0
6,3.6
6,3.6
6,3.6
4,2.0
6,3.6
4,2.0
6,3.6
6,3.6
6,3.0
6,3.6
6,3.0
6,3.6
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
8,6.2
4,1.4
4,1.4
4,1.8
4,1.8
4,2.0
4,1.4
4,1.4
4,2.4
6,3.6
6,3.6
4,2.4
6,3.6
6,3.6
6,4.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,4.8
8,6.0
8,6.0
8,4.8
8,6.0
8,6.0
4,2.5
6,3.6
6,3.6
4,2.4
4,2.0
4,2.5
4,2.4
4,2.4
6,4.3
6,4.3
8,5.3
8,5.3
8,6.2
6,4.3
6,4.3
8,5.3
8,5.3
8,6.2
4,1.4
4,1.4
4,1.8
4,1.8
4,1.4
4,1.4
4,1.8
4,1.8
4,1.4
4,1.4
4,1.4
4,1.4
4,1.2
4,1.2
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
6,3.6
6,3.6
4,1.4
4,1.4
4,1.4
6,3.6
4,2.4
4,2.4
6,3.6
6,3.6
4,2.4
4,2.4
6,3.6
6,3.6
8,5.7
6,3.6
8,5.7
6,3.6
6,3.6
6,3.6
6,3.6
8,6.4
6,3.6
6,3.6
4,2.4
4,2.4
6,3.6
6,3.6
6,3.6
8,5.7
8,5.7
8,6.4
8,6.4
6,3.6
6,3.6
8,5.7
6,3.6
8,5.7
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
8,6.4
4,2.0
4,2.4
4,2.4
4,2.0
4,2.0
4,2.4
4,2.4
4,1.4
4,1.4
8,5.7
6,3.6
6,3.6
6,3.6
6,3.6
4,2.4
6,3.6
6,3.6
6,3.6
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,1.4
4,2.0
8,4.6
8,4.6
8,5.4
8,5.4
8,4.6
8,4.6
10,6.8
8,5.4
8,5.4
4,2.0
6,3.5
6,3.5
6,3.7
4,1.6
4,2.0
4,2.5
4,1.6
4,2.0
8,5.4
8,5.4
4,2.0
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
8,6.2
6,3.5
6,3.5
8,6.2
6,3.7
6,3.7
6,3.7
6,3.7
8,5.0
8,5.0
8,5.0
8,5.0
6,3.7
6,3.7
6,3.7
6,3.7
8,5.0
8,5.0
8,5.0
8,5.0
8,6.2
4,1.6
4,1.6
4,1.0
4,1.6
4,1.6
6,3.5
6,3.5
6,3.5
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,1.5
4,1.6
4,2.0
4,2.5
4,1.5
4,2.0
4,2.0
6,3.7
6,3.7
8,5.0
8,5.0
8,5.8
6,3.7
4,2.0
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
4,1.6
4,2.5
4,1.6
4,2.5
6,3.6
6,3.6
6,4.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,5.3
8,4.8
8,6.0
8,6.0
8,4.8
8,6.0
8,6.0
6,4.3
6,4.3
8,5.3
8,5.3
8,6.2
6,4.3
6,4.3
8,5.3
8,5.3
8,6.2
4,2.4
6,3.6
6,3.6
4,2.4
6,3.6
6,3.6
8,5.3
8,5.3
8,5.3
8,5.3
8,6.2
8,6.2
8,6.2
8,6.2
8,5.3
8,5.3
8,5.3
8,5.3
4,2.4
4,2.4
4,2.4
6,3.5
6,3.5
6,3.5
4,2.0
4,1.8
4,1.8
4,1.8
6,3.5
4,2.4
4,2.4
4,1.5
4,1.5
4,1.5
4,1.5
6,3.5
6,3.5
6,3.5
6,3.5
4,1.6
4,1.6
4,2.0
4,2.0
8,5.0
6,3.8
6,3.3
6,3.3
4,2.4
4,2.0
4,2.4
4,2.0
4,2.4
4,2.4
4,2.4
4,2.0
4,2.0
4,2.4
4,2.0
4,2.4
4,1.6
4,1.6
4,1.6
4,1.6
6,3.7
6,3.7
6,3.5
6,3.5
6,3.7
6,3.7
6,3.7
6,3.7
6,3.7
6,3.7
8,5.6
6,3.7
8,5.6
6,3.5
6,3.7
6,3.5
6,3.5
4,2.5
6,3.7
8,5.0
8,5.6
6,3.0
6,3.0
8,5.0
4,2.0
6,3.0
8,5.0
8,5.0
8,5.0
6,3.0
8,5.0
8,5.0
6,3.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
8,5.0
4,2.4
6,3.2
4,2.4
6,3.2
4,2.4
6,3.2
4,2.4
6,3.2
4,2.0
4,2.0
4,2.4
4,2.4
4,2.4
4,2.4
4,2.4
8,5.7
6,3.0
6,3.6
6,3.6
8,6.4
4,2.0
4,2.0
4,2.4
4,2.4
4,2.4
4,2.4
4,2.4
6,3.6
6,3.6
6,3.6
6,3.6
6,3.3
4,1.8
4,1.8
4,2.0
4,2.0
4,1.6
4,1.6
4,2.0
4,2.0
4,1.6
4,1.6
4,2.0
4,2.0
4,2.0
4,2.4
4,1.6
4,1.6
4,1.6
4,2.0
4,2.0
6,3.5
4,2.4
6,3.3
4,2.4
6,3.3
4,1.6
4,1.6
4,2.0
4,2.0
4,2.4
4,2.4
4,2.0
4,2.4
12,6.5
10,5.2
10,5.2
4,2.0
6,3.0
4,2.0
4,2.0
8,5.0
8,5.0
8,5.0
6,3.0
6,3.0
6,3.0
8,5.0
8,5.0
8,5.0
6,3.0
6,3.0
6,3.0
8,5.0
8,5.0
8,5.0
4,1.8
4,2.5
6,3.5
6,3.5
6,3.5
6,3.5
8,4.6
6,2.5
6,2.5
6,2.5
6,3.5
6,3.5
6,3.5
8,5.0
8,4.6
8,4.6
8,4.6
8,5.0
8,5.7
6,3.5
6,3.5
6,3.5
6,3.5
6,3.7
6,3.5
4,2.0
6,3.7
6,3.7
4,2.0
6,3.7
4,2.0
8,5.4
8,5.4
6,3.0
6,3.0
8,4.7
8,4.7
8,3.8
6,3.0
4,2.0
4,2.0
4,2.5
4,2.0
4,2.5
6,3.7
6,3.7
4,1.5
4,1.5
4,2.0
4,2.0
4,2.5
4,2.5
4,2.0
4,2.0
4,2.0
4,2.5
4,2.5
4,2.0
4,2.5
4,2.5
4,2.5
4,2.5
4,2.5
4,2.0
4,2.0
4,2.0
4,2.0
4,1.8
4,1.8
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
8,6.2
8,6.2
8,4.7
8,5.5
4,2.0
4,2.0
8,4.7
8,5.5
8,5.5
4,2.1
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
6,3.5
8,4.7
8,4.7
8,4.7
8,5.5
8,5.5
8,5.5
8,5.5
8,5.5
8,5.5
6,3.0
8,4.7
8,4.7
8,5.5
4,2.1
6,3.5
6,3.5
6,3.5
6,3.0
8,4.7
8,5.5
8,4.7
8,4.7
8,5.5
8,4.7
8,5.5
8,6.0
4,1.8
4,1.8
6,3.5
8,5.5
8,6.2
8,6.2
8,6.2
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,1.6
4,2.0
4,2.0
4,2.4
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
3,1.2
3,1.2
4,2.4
4,2.4
6,3.0
4,2.0
4,2.0
4,2.0
6,3.7
6,3.7
6,3.7
6,3.7
4,2.5
6,3.5
8,5.6
4,2.5
4,2.5
6,4.0
6,4.0
6,4.0
6,3.8
4,1.6
4,1.6
4,1.6
6,3.5
6,3.5
4,2.0
6,3.5
6,3.5
4,2.5
6,3.5
4,2.5
4,2.5
4,1.8
4,1.8
8,5.6
8,5.6
4,1.6
4,1.6
6,4.0
6,4.0
6,3.4
6,3.4
6,3.4
6,3.4
6,3.4
6,3.4
6,3.8
6,3.8
6,3.8
6,3.8
6,3.4
6,3.4
6,3.8
6,3.8
6,3.8
6,3.8
6,3.8
6,3.8
6,3.8
6,3.8
6,3.8
6,2.7
6,2.7
6,3.4
6,3.4
6,3.6
6,3.6
6,3.0
8,4.8
8,4.8
6,3.0
8,4.8
6,2.7
6,2.7
6,3.4
6,3.4
6,3.6
6,3.6
6,3.0
6,3.0
8,4.8
6,3.0
8,4.8
8,4.8
8,5.7
8,5.7
8,5.7
8,5.7
6,3.0
6,3.6
6,3.6
6,3.0
6,3.6
6,3.6
6,3.6
6,3.6
6,3.6
12,6.6
12,6.6
12,6.7
12,6.7
12,6.7
12,6.7
12,6.6
4,2.0
4,2.0
4,1.3
4,2.5
4,2.5
4,2.4
4,2.4
4,1.8
4,1.8
3,1.0
3,1.0
10,8.4
10,8.4
4,2.0
4,2.0
4,2.0
4,2.5
4,2.5
4,2.0
4,2.0
4,2.5
4,2.5
4,2.0
4,2.0
4,2.5
4,2.5
4,2.5
4,2.5
6,3.6
4,2.5
4,2.5
6,3.6
6,3.6
4,2.0
4,2.0
4,2.0
6,4.0
6,4.0
6,3.5
4,2.5
6,3.5
4,2.5
4,2.5
4,1.8
4,1.8
4,1.8
4,1.8
4,1.8
4,1.8
4,1.8
4,1.8
6,4.0
6,4.0
4,2.7
6,3.5
6,3.5
6,3.5
6,3.5
4,1.8
4,1.5
4,1.8
4,2.5
4,2.5
4,2.5
8,5.7
6,3.5
6,3.5
4,2.7
4,2.7
6,4.0
4,2.7
4,2.7
6,4.0
6,4.0
6,4.0
8,4.6
8,5.7
8,4.6
8,5.7
4,2.7
6,3.5
4,2.7
6,3.5
4,1.5
4,1.5
4,1.8
4,1.8
4,2.0
4,2.0
5,2.5
5,2.5
4,1.8
4,2.0
4,2.0
5,2.5
4,2.0
4,2.0
4,2.0
4,2.0
6,3.6
4,2.0
5,2.5
5,2.5
4,2.0
4,2.0
4,1.8
4,1.8
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,2.0
4,1.4
4,1.8
4,1.8
5,2.5
5,2.5
6,3.6
4,2.0
4,2.0
6,3.6
4,2.0
4,2.0
4,2.0
6,3.6
6,3.0
5,2.5
5,2.5
6,3.0
6,3.2
6,3.0
6,3.2
6,3.0
6,3.2
6,3.0
6,3.2
6,3.2
